player_name,player_id_hint,new_club,effective_date,source_note
Raheem Sterling,134425,Arsenal FC,2024-08-30,Loan from Chelsea FC (Summer 2024 Deadline Day)
Jadon Sancho,401173,Chelsea FC,2024-08-30,Loan from Manchester United (Summer 2024 Deadline Day)
Dominic Solanke,286120,Tottenham Hotspur,2024-08-10,Permanent transfer from AFC Bournemouth
Riccardo Calafiori,502821,Arsenal FC,2024-07-29,Permanent transfer from Bologna FC
Ilkay Gündogan,53622,Manchester City,2024-08-23,Free transfer from FC Barcelona
Julian Alvarez,576024,Club Atlético de Madrid,2024-08-12,Permanent transfer from Manchester City
Ivan Toney,251664,Al-Ahli SFC,2024-08-31,Permanent transfer from Brentford FC
Federico Chiesa,341092,Liverpool FC,2024-08-29,Permanent transfer from Juventus FC
Matthijs de Ligt,326031,Manchester United,2024-08-13,Permanent transfer from FC Bayern München
Noussair Mazraoui,340456,Manchester United,2024-08-13,Permanent transfer from FC Bayern München
Manuel Ugarte,476701,Manchester United,2024-08-30,Permanent transfer from Paris Saint-Germain
Mikel Merino,290049,Arsenal FC,2024-08-27,Permanent transfer from Real Sociedad
Eddie Nketiah,340324,Crystal Palace,2024-08-30,Permanent transfer from Arsenal FC
Aaron Ramsdale,395048,Southampton FC,2024-08-30,Permanent transfer from Arsenal FC
Emile Smith Rowe,392775,Fulham FC,2024-08-02,Permanent transfer from Arsenal FC
Pedro Neto,487465,Chelsea FC,2024-08-11,Permanent transfer from Wolverhampton Wanderers
João Félix,462250,Chelsea FC,2024-08-21,Permanent transfer from Atlético de Madrid
Conor Gallagher,488362,Club Atlético de Madrid,2024-08-21,Permanent transfer from Chelsea FC
Romelu Lukaku,56370,SSC Napoli,2024-08-29,Permanent transfer from Chelsea FC
